codigo,nombre,temperatura,luminosidad,saturacion,familia_visual,estilos_recomendados,ambientes_recomendados,combina_con,contrasta_con,descripcion_tecnica,nivel_luminosidad,nivel_saturacion,sensacion_visual
60YY 69/583,Amarillo Fantasía,Cálido,7,9,Arena,Pop;Maximalista,Living;Comedor;Cocina,Blanco;Madera clara;Beige;Neutros,Negro mate;Grafito;Azul profundo,Arena cálido de luminosidad alto (7/10) y saturación muy alta (9/10) que aporta amplitud visual.,Alto,Muy Alta,Luminoso;Amplio;Cálido;Acogedor
45YY 65/710,Amarillo Festival,Cálido,7,10,Terracota,Pop;Maximalista,Living;Comedor;Cocina,Blanco;Madera clara;Beige;Neutros,Negro mate;Grafito;Azul profundo,Terracota cálido de luminosidad alto (7/10) y saturación muy alta (10/10) que aporta amplitud visual.,Alto,Muy Alta,Luminoso;Amplio;Cálido;Acogedor
45YY 69/614,Amarillo Imprenta,Cálido,7,10,Arena,Pop;Maximalista,Living;Comedor;Cocina,Blanco;Madera clara;Beige;Neutros,Negro mate;Grafito;Azul profundo,Arena cálido de luminosidad alto (7/10) y saturación muy alta (10/10) que aporta amplitud visual.,Alto,Muy Alta,Luminoso;Amplio;Cálido;Acogedor
60YY 83/219,Amarillo Margarita,Cálido,8,8,Arena,Pop;Maximalista,Living;Comedor;Cocina,Blanco;Madera clara;Beige;Neutros,Negro mate;Grafito;Azul profundo,Arena cálido de luminosidad alto (8/10) y saturación alta (8/10) que aporta amplitud visual.,Alto,Alta,Luminoso;Amplio;Cálido;Acogedor
45YY 74/383,Amarillo Neón,Cálido,7,9,Arena,Pop;Maximalista,Living;Comedor;Cocina,Blanco;Madera clara;Beige;Neutros,Negro mate;Grafito;Azul profundo,Arena cálido de luminosidad alto (7/10) y saturación muy alta (9/10) que aporta amplitud visual.,Alto,Muy Alta,Luminoso;Amplio;Cálido;Acogedor
37YY 61/867,Amarillo Omega *,Cálido,6,10,Terracota,Pop;Maximalista,Comedor;Living,Blanco;Madera clara;Beige;Neutros,Blanco;Crema;Azul profundo,Terracota cálido de luminosidad medio (6/10) y saturación muy alta (10/10) que equilibra el espacio.,Medio,Muy Alta,Suave;Cálido;Acogedor;Alegre
60YY 73/497,Amarillo Optimista,Cálido,7,9,Arena,Pop;Maximalista,Living;Comedor;Cocina,Blanco;Madera clara;Beige;Neutros,Negro mate;Grafito;Azul profundo,Arena cálido de luminosidad alto (7/10) y saturación muy alta (9/10) que aporta amplitud visual.,Alto,Muy Alta,Luminoso;Amplio;Cálido;Acogedor
40YY 68/381,Amarillo Peruano,Cálido,7,8,Arena,Pop;Maximalista,Living;Comedor;Cocina,Blanco;Madera clara;Beige;Neutros,Negro mate;Grafito;Azul profundo,Arena cálido de luminosidad alto (7/10) y saturación alta (8/10) que aporta amplitud visual.,Alto,Alta,Luminoso;Amplio;Cálido;Acogedor
45YY 71/664,Amarillo Real *,Cálido,7,10,Arena,Pop;Maximalista,Living;Comedor;Cocina,Blanco;Madera clara;Beige;Neutros,Negro mate;Grafito;Azul profundo,Arena cálido de luminosidad alto (7/10) y saturación muy alta (10/10) que aporta amplitud visual.,Alto,Muy Alta,Luminoso;Amplio;Cálido;Acogedor
60YY 80/288,Amarillo Refinado,Cálido,8,8,Arena,Pop;Maximalista,Living;Comedor;Cocina,Blanco;Madera clara;Beige;Neutros,Negro mate;Grafito;Azul profundo,Arena cálido de luminosidad alto (8/10) y saturación alta (8/10) que aporta amplitud visual.,Alto,Alta,Luminoso;Amplio;Cálido;Acogedor
60YY 66/487,Amarillo Rico *,Cálido,7,8,Arena,Pop;Maximalista,Living;Comedor;Cocina,Blanco;Madera clara;Beige;Neutros,Negro mate;Grafito;Azul profundo,Arena cálido de luminosidad alto (7/10) y saturación alta (8/10) que aporta amplitud visual.,Alto,Alta,Luminoso;Amplio;Cálido;Acogedor
58YY 88/180,Amarillo Suave,Cálido,8,8,Arena,Pop;Maximalista,Living;Comedor;Cocina,Blanco;Madera clara;Beige;Neutros,Negro mate;Grafito;Azul profundo,Arena cálido de luminosidad alto (8/10) y saturación alta (8/10) que aporta amplitud visual.,Alto,Alta,Luminoso;Amplio;Cálido;Acogedor
60YY 71/409,Amarillo Vibrante,Cálido,7,8,Arena,Pop;Maximalista,Living;Comedor;Cocina,Blanco;Madera clara;Beige;Neutros,Negro mate;Grafito;Azul profundo,Arena cálido de luminosidad alto (7/10) y saturación alta (8/10) que aporta amplitud visual.,Alto,Alta,Luminoso;Amplio;Cálido;Acogedor
45YY 61/368,Amarillo Victoriano,Cálido,6,7,Arena,Pop;Maximalista,Comedor;Living,Blanco;Madera clara;Beige;Neutros,Blanco;Crema;Azul profundo,Arena cálido de luminosidad medio (6/10) y saturación alta (7/10) que equilibra el espacio.,Medio,Alta,Suave;Cálido;Acogedor;Alegre
40YY 63/473,Ananá Maduro,Cálido,6,8,Arena,Pop;Maximalista,Comedor;Living,Blanco;Madera clara;Beige;Neutros,Blanco;Crema;Azul profundo,Arena cálido de luminosidad medio (6/10) y saturación alta (8/10) que equilibra el espacio.,Medio,Alta,Suave;Cálido;Acogedor;Alegre
30YY 47/236,Arroz Dorado,Cálido,5,5,Arena,Rústico;Mediterráneo,Dormitorio;Pasillo;Comedor;Living,Blanco;Madera clara;Beige,Blanco;Crema;Azul profundo,Arena cálido de luminosidad medio (5/10) y saturación media (5/10) que equilibra el espacio.,Medio,Media,Suave;Cálido;Acogedor;Natural
50YY 60/538,Artilugio,Cálido,6,8,Arena,Pop;Maximalista,Comedor;Living,Blanco;Madera clara;Beige;Neutros,Blanco;Crema;Azul profundo,Arena cálido de luminosidad medio (6/10) y saturación alta (8/10) que equilibra el espacio.,Medio,Alta,Suave;Cálido;Acogedor;Alegre
30YY 41/700,Azafrán Indio *,Cálido,5,10,Terracota,Pop;Maximalista,Comedor;Living,Blanco;Madera clara;Beige;Neutros,Blanco;Crema;Azul profundo,Terracota cálido de luminosidad medio (5/10) y saturación muy alta (10/10) que equilibra el espacio.,Medio,Muy Alta,Suave;Cálido;Acogedor;Alegre
50YY 71/369,Bálsamo Amarillo,Cálido,7,8,Arena,Pop;Maximalista,Living;Comedor;Cocina,Blanco;Madera clara;Beige;Neutros,Negro mate;Grafito;Azul profundo,Arena cálido de luminosidad alto (7/10) y saturación alta (8/10) que aporta amplitud visual.,Alto,Alta,Luminoso;Amplio;Cálido;Acogedor
70YY 51/669,Bambú de Bali,Cálido,5,7,Piedra,Pop;Maximalista,Comedor;Living,Blanco;Madera clara;Beige;Neutros,Blanco;Crema;Azul profundo,Piedra cálido de luminosidad medio (5/10) y saturación alta (7/10) que equilibra el espacio.,Medio,Alta,Suave;Cálido;Acogedor;Alegre
39YY 66/628,Banana Madura,Cálido,7,10,Arena,Pop;Maximalista,Living;Comedor;Cocina,Blanco;Madera clara;Beige;Neutros,Negro mate;Grafito;Azul profundo,Arena cálido de luminosidad alto (7/10) y saturación muy alta (10/10) que aporta amplitud visual.,Alto,Muy Alta,Luminoso;Amplio;Cálido;Acogedor
63YY 53/710,Banana Verde *,Cálido,6,8,Piedra,Pop;Maximalista,Living;Dormitorio;Comedor;Cocina;Baño;Pasillo;Home office;Cuarto de niños,Blanco;Madera clara;Beige;Neutros,Blanco;Crema;Azul profundo,Piedra cálido de luminosidad medio (6/10) y saturación alta (8/10) que equilibra el espacio.,Medio,Alta,Suave;Cálido;Acogedor;Alegre
40YY 60/519,Baño de Sol,Cálido,6,8,Arena,Pop;Maximalista,Comedor;Living,Blanco;Madera clara;Beige;Neutros,Blanco;Crema;Azul profundo,Arena cálido de luminosidad medio (6/10) y saturación alta (8/10) que equilibra el espacio.,Medio,Alta,Suave;Cálido;Acogedor;Alegre
43YY 74/339,Batido de Limón,Cálido,7,9,Arena,Pop;Maximalista,Living;Comedor;Cocina,Blanco;Madera clara;Beige;Neutros,Negro mate;Grafito;Azul profundo,Arena cálido de luminosidad alto (7/10) y saturación muy alta (9/10) que aporta amplitud visual.,Alto,Muy Alta,Luminoso;Amplio;Cálido;Acogedor
60YY 75/108,Beige Campestre,Cálido,8,4,Arena,Minimalista;Nórdico;Japandi;Rústico;Mediterráneo,Living;Comedor;Cocina;Dormitorio;Pasillo,Blanco;Madera clara;Beige,Negro mate;Grafito;Azul profundo,Arena cálido de luminosidad alto (8/10) y saturación baja (4/10) que aporta amplitud visual.,Alto,Baja,Luminoso;Amplio;Cálido;Acogedor
61YY 86/159,Blanco Exaltación,Cálido,9,7,Arena,Pop;Maximalista,Living;Dormitorio;Comedor;Cocina;Baño;Pasillo;Home office;Cuarto de niños,Blanco;Madera clara;Beige;Neutros,Negro mate;Grafito;Azul profundo,Arena cálido de luminosidad muy alto (9/10) y saturación alta (7/10) que aporta amplitud visual.,Muy Alto,Alta,Luminoso;Amplio;Cálido;Acogedor
67YY 82/072,Blanco Inocente,Cálido,8,4,Piedra,Minimalista;Nórdico;Japandi;Rústico;Mediterráneo,Living;Dormitorio;Comedor;Cocina;Baño;Pasillo;Home office;Cuarto de niños,Blanco;Madera clara;Beige,Negro mate;Grafito;Azul profundo,Piedra cálido de luminosidad alto (8/10) y saturación baja (4/10) que aporta amplitud visual.,Alto,Baja,Luminoso;Amplio;Cálido;Acogedor
57YY 72/138,Blanco Lana,Cálido,7,5,Arena,Rústico;Mediterráneo,Living;Dormitorio;Comedor;Cocina;Baño;Pasillo;Home office;Cuarto de niños,Blanco;Madera clara;Beige,Negro mate;Grafito;Azul profundo,Arena cálido de luminosidad alto (7/10) y saturación media (5/10) que aporta amplitud visual.,Alto,Media,Luminoso;Amplio;Cálido;Acogedor
60YY 83/125,Blanco Limón,Cálido,8,6,Arena,Rústico;Mediterráneo,Living;Comedor;Cocina,Blanco;Madera clara;Beige;Neutros,Negro mate;Grafito;Azul profundo,Arena cálido de luminosidad alto (8/10) y saturación media (6/10) que aporta amplitud visual.,Alto,Media,Luminoso;Amplio;Cálido;Acogedor
65YY 79/118,Blanco Maíz,Cálido,8,5,Arena,Rústico;Mediterráneo,Living;Dormitorio;Comedor;Cocina;Baño;Pasillo;Home office;Cuarto de niños,Blanco;Madera clara;Beige,Negro mate;Grafito;Azul profundo,Arena cálido de luminosidad alto (8/10) y saturación media (5/10) que aporta amplitud visual.,Alto,Media,Luminoso;Amplio;Cálido;Acogedor
45YY 77/183,Blanco Milhojas,Cálido,8,7,Arena,Pop;Maximalista,Living;Comedor;Cocina,Blanco;Madera clara;Beige;Neutros,Negro mate;Grafito;Azul profundo,Arena cálido de luminosidad alto (8/10) y saturación alta (7/10) que aporta amplitud visual.,Alto,Alta,Luminoso;Amplio;Cálido;Acogedor
40YY 69/666,Botón de Oro,Cálido,7,10,Arena,Pop;Maximalista,Living;Comedor;Cocina,Blanco;Madera clara;Beige;Neutros,Negro mate;Grafito;Azul profundo,Arena cálido de luminosidad alto (7/10) y saturación muy alta (10/10) que aporta amplitud visual.,Alto,Muy Alta,Luminoso;Amplio;Cálido;Acogedor
48YY 77/529,Brindar,Cálido,8,10,Arena,Pop;Maximalista,Living;Comedor;Cocina,Blanco;Madera clara;Beige;Neutros,Negro mate;Grafito;Azul profundo,Arena cálido de luminosidad alto (8/10) y saturación muy alta (10/10) que aporta amplitud visual.,Alto,Muy Alta,Luminoso;Amplio;Cálido;Acogedor
60YY 79/367,Brisa de Primavera,Cálido,8,9,Arena,Pop;Maximalista,Living;Comedor;Cocina,Blanco;Madera clara;Beige;Neutros,Negro mate;Grafito;Azul profundo,Arena cálido de luminosidad alto (8/10) y saturación muy alta (9/10) que aporta amplitud visual.,Alto,Muy Alta,Luminoso;Amplio;Cálido;Acogedor
50YY 51/519,Brote de Caña,Cálido,6,7,Terracota,Pop;Maximalista,Comedor;Living,Blanco;Madera clara;Beige;Neutros,Blanco;Crema;Azul profundo,Terracota cálido de luminosidad medio (6/10) y saturación alta (7/10) que equilibra el espacio.,Medio,Alta,Suave;Cálido;Acogedor;Alegre
50YY 65/454,Campana,Cálido,7,8,Arena,Pop;Maximalista,Living;Comedor;Cocina,Blanco;Madera clara;Beige;Neutros,Negro mate;Grafito;Azul profundo,Arena cálido de luminosidad alto (7/10) y saturación alta (8/10) que aporta amplitud visual.,Alto,Alta,Luminoso;Amplio;Cálido;Acogedor
30YY 23/246,Campo Polvoriento,Cálido,3,4,Terracota,Dramático,Living,Blanco;Madera clara;Beige;Blanco roto,Blanco;Crema;Azul profundo,Terracota cálido de luminosidad bajo (3/10) y saturación baja (4/10) que genera profundidad.,Bajo,Baja,Profundo;Cálido;Acogedor;Natural
39YY 66/813,Capa de Lluvia *,Cálido,7,10,Terracota,Pop;Maximalista,Living;Comedor;Cocina,Blanco;Madera clara;Beige;Neutros,Negro mate;Grafito;Azul profundo,Terracota cálido de luminosidad alto (7/10) y saturación muy alta (10/10) que aporta amplitud visual.,Alto,Muy Alta,Luminoso;Amplio;Cálido;Acogedor
60YY 39/654,Capín *,Cálido,5,8,Piedra,Pop;Maximalista,Comedor;Living,Blanco;Madera clara;Beige;Neutros,Blanco;Crema;Azul profundo,Piedra cálido de luminosidad medio (5/10) y saturación alta (8/10) que equilibra el espacio.,Medio,Alta,Suave;Cálido;Acogedor;Alegre
30YY 35/249,Caqui Dorado,Cálido,4,4,Terracota,Contemporáneo,Living,Blanco;Madera clara;Beige;Blanco roto,Blanco;Crema;Azul profundo,Terracota cálido de luminosidad bajo (4/10) y saturación baja (4/10) que equilibra el espacio.,Bajo,Baja,Suave;Cálido;Acogedor;Natural
60YY 67/626,Carambola,Cálido,7,8,Arena,Pop;Maximalista,Living;Comedor;Cocina,Blanco;Madera clara;Beige;Neutros,Negro mate;Grafito;Azul profundo,Arena cálido de luminosidad alto (7/10) y saturación alta (8/10) que aporta amplitud visual.,Alto,Alta,Luminoso;Amplio;Cálido;Acogedor
51YY 61/792,Césped Mostaza *,Cálido,6,10,Piedra,Pop;Maximalista,Living;Dormitorio;Comedor;Cocina;Baño;Pasillo;Home office;Cuarto de niños,Blanco;Madera clara;Beige;Neutros,Blanco;Crema;Azul profundo,Piedra cálido de luminosidad medio (6/10) y saturación muy alta (10/10) que equilibra el espacio.,Medio,Muy Alta,Suave;Cálido;Acogedor;Alegre
53YY 83/348,Cidro Helado,Cálido,8,10,Arena,Pop;Maximalista,Living;Comedor;Cocina,Blanco;Madera clara;Beige;Neutros,Negro mate;Grafito;Azul profundo,Arena cálido de luminosidad alto (8/10) y saturación muy alta (10/10) que aporta amplitud visual.,Alto,Muy Alta,Luminoso;Amplio;Cálido;Acogedor
50YY 42/490,Corona Dorada,Cálido,5,6,Terracota,Rústico;Mediterráneo,Comedor;Living,Blanco;Madera clara;Beige;Neutros,Blanco;Crema;Azul profundo,Terracota cálido de luminosidad medio (5/10) y saturación media (6/10) que equilibra el espacio.,Medio,Media,Suave;Cálido;Acogedor;Natural
48YY 80/346,Corriente Estival,Cálido,8,10,Arena,Pop;Maximalista,Living;Dormitorio;Comedor;Cocina;Baño;Pasillo;Home office;Cuarto de niños,Blanco;Madera clara;Beige;Neutros,Negro mate;Grafito;Azul profundo,Arena cálido de luminosidad alto (8/10) y saturación muy alta (10/10) que aporta amplitud visual.,Alto,Muy Alta,Luminoso;Amplio;Cálido;Acogedor
40YY 64/165,Costa de Marfil,Cálido,7,5,Arena,Rústico;Mediterráneo,Living;Comedor;Cocina;Dormitorio;Pasillo,Blanco;Madera clara;Beige,Negro mate;Grafito;Azul profundo,Arena cálido de luminosidad alto (7/10) y saturación media (5/10) que aporta amplitud visual.,Alto,Media,Luminoso;Amplio;Cálido;Acogedor
40YY 67/196,Costa Soleada,Cálido,7,6,Arena,Rústico;Mediterráneo,Living;Comedor;Cocina,Blanco;Madera clara;Beige;Neutros,Negro mate;Grafito;Azul profundo,Arena cálido de luminosidad alto (7/10) y saturación media (6/10) que aporta amplitud visual.,Alto,Media,Luminoso;Amplio;Cálido;Acogedor
56YY 85/109,Crema Chic,Cálido,9,6,Arena,Rústico;Mediterráneo,Living;Dormitorio;Comedor;Cocina;Baño;Pasillo;Home office;Cuarto de niños,Blanco;Madera clara;Beige;Neutros,Negro mate;Grafito;Azul profundo,Arena cálido de luminosidad muy alto (9/10) y saturación media (6/10) que aporta amplitud visual.,Muy Alto,Media,Luminoso;Amplio;Cálido;Acogedor
50YY 77/173,Crema de Boston,Cálido,8,7,Arena,Pop;Maximalista,Living;Comedor;Cocina,Blanco;Madera clara;Beige;Neutros,Negro mate;Grafito;Azul profundo,Arena cálido de luminosidad alto (8/10) y saturación alta (7/10) que aporta amplitud visual.,Alto,Alta,Luminoso;Amplio;Cálido;Acogedor
40YY 78/140,Crema de Limón,Cálido,8,6,Arena,Rústico;Mediterráneo,Living;Comedor;Cocina,Blanco;Madera clara;Beige;Neutros,Negro mate;Grafito;Azul profundo,Arena cálido de luminosidad alto (8/10) y saturación media (6/10) que aporta amplitud visual.,Alto,Media,Luminoso;Amplio;Cálido;Acogedor
40YY 65/427,Crema de Manzana,Cálido,7,9,Arena,Pop;Maximalista,Living;Comedor;Cocina,Blanco;Madera clara;Beige;Neutros,Negro mate;Grafito;Azul profundo,Arena cálido de luminosidad alto (7/10) y saturación muy alta (9/10) que aporta amplitud visual.,Alto,Muy Alta,Luminoso;Amplio;Cálido;Acogedor
39YY 74/175,Crema Musical,Cálido,7,6,Arena,Rústico;Mediterráneo,Living;Comedor;Cocina,Blanco;Madera clara;Beige;Neutros,Negro mate;Grafito;Azul profundo,Arena cálido de luminosidad alto (7/10) y saturación media (6/10) que aporta amplitud visual.,Alto,Media,Luminoso;Amplio;Cálido;Acogedor
50YY 77/285,Cremoso,Cálido,8,8,Arena,Pop;Maximalista,Living;Comedor;Cocina,Blanco;Madera clara;Beige;Neutros,Negro mate;Grafito;Azul profundo,Arena cálido de luminosidad alto (8/10) y saturación alta (8/10) que aporta amplitud visual.,Alto,Alta,Luminoso;Amplio;Cálido;Acogedor
60YY 77/332,Crucero del Sur,Cálido,8,8,Arena,Pop;Maximalista,Living;Comedor;Cocina,Blanco;Madera clara;Beige;Neutros,Negro mate;Grafito;Azul profundo,Arena cálido de luminosidad alto (8/10) y saturación alta (8/10) que aporta amplitud visual.,Alto,Alta,Luminoso;Amplio;Cálido;Acogedor
45YY 62/805,Curry *,Cálido,6,10,Terracota,Pop;Maximalista,Comedor;Living,Blanco;Madera clara;Beige;Neutros,Blanco;Crema;Azul profundo,Terracota cálido de luminosidad medio (6/10) y saturación muy alta (10/10) que equilibra el espacio.,Medio,Muy Alta,Suave;Cálido;Acogedor;Alegre
40YY 49/546,Curry Dorado,Cálido,5,7,Terracota,Pop;Maximalista,Comedor;Living,Blanco;Madera clara;Beige;Neutros,Blanco;Crema;Azul profundo,Terracota cálido de luminosidad medio (5/10) y saturación alta (7/10) que equilibra el espacio.,Medio,Alta,Suave;Cálido;Acogedor;Alegre
43YY 71/540,Deleite Estelar,Cálido,7,10,Arena,Pop;Maximalista,Living;Comedor;Cocina,Blanco;Madera clara;Beige;Neutros,Negro mate;Grafito;Azul profundo,Arena cálido de luminosidad alto (7/10) y saturación muy alta (10/10) que aporta amplitud visual.,Alto,Muy Alta,Luminoso;Amplio;Cálido;Acogedor
44YY 69/140,Desierto Deslumbrante,Cálido,7,5,Arena,Rústico;Mediterráneo,Living;Comedor;Cocina;Dormitorio;Pasillo,Blanco;Madera clara;Beige,Negro mate;Grafito;Azul profundo,Arena cálido de luminosidad alto (7/10) y saturación media (5/10) que aporta amplitud visual.,Alto,Media,Luminoso;Amplio;Cálido;Acogedor
60YY 48/748,Drama Rústico *,Cálido,5,10,Piedra,Pop;Maximalista,Comedor;Living,Blanco;Madera clara;Beige;Neutros,Blanco;Crema;Azul profundo,Piedra cálido de luminosidad medio (5/10) y saturación muy alta (10/10) que equilibra el espacio.,Medio,Muy Alta,Suave;Cálido;Acogedor;Alegre
40YY 83/150,Dulce de Coco,Cálido,8,8,Arena,Pop;Maximalista,Living;Comedor;Cocina,Blanco;Madera clara;Beige;Neutros,Negro mate;Grafito;Azul profundo,Arena cálido de luminosidad alto (8/10) y saturación alta (8/10) que aporta amplitud visual.,Alto,Alta,Luminoso;Amplio;Cálido;Acogedor
46YY 61/201,Efecto Pardo,Cálido,6,5,Arena,Rústico;Mediterráneo,Living;Dormitorio;Comedor;Cocina;Baño;Pasillo;Home office;Cuarto de niños,Blanco;Madera clara;Beige,Blanco;Crema;Azul profundo,Arena cálido de luminosidad medio (6/10) y saturación media (5/10) que equilibra el espacio.,Medio,Media,Suave;Cálido;Acogedor;Natural
40YY 38/643,Encaje Portugués *,Cálido,4,9,Terracota,Pop;Maximalista,Comedor;Living,Blanco;Madera clara;Beige;Blanco roto;Neutros,Blanco;Crema;Azul profundo,Terracota cálido de luminosidad bajo (4/10) y saturación muy alta (9/10) que equilibra el espacio.,Bajo,Muy Alta,Suave;Cálido;Acogedor;Alegre
50YY 53/687,Estallido de Azufre *,Cálido,6,8,Terracota,Pop;Maximalista,Comedor;Living,Blanco;Madera clara;Beige;Neutros,Blanco;Crema;Azul profundo,Terracota cálido de luminosidad medio (6/10) y saturación alta (8/10) que equilibra el espacio.,Medio,Alta,Suave;Cálido;Acogedor;Alegre
48YY 73/573,Estallido Estelar,Cálido,7,10,Arena,Pop;Maximalista,Living;Dormitorio;Comedor;Cocina;Baño;Pasillo;Home office;Cuarto de niños,Blanco;Madera clara;Beige;Neutros,Negro mate;Grafito;Azul profundo,Arena cálido de luminosidad alto (7/10) y saturación muy alta (10/10) que aporta amplitud visual.,Alto,Muy Alta,Luminoso;Amplio;Cálido;Acogedor
40YY 64/903,Estrella Ardiente *,Cálido,7,10,Terracota,Pop;Maximalista,Living;Comedor;Cocina,Blanco;Madera clara;Beige;Neutros,Negro mate;Grafito;Azul profundo,Terracota cálido de luminosidad alto (7/10) y saturación muy alta (10/10) que aporta amplitud visual.,Alto,Muy Alta,Luminoso;Amplio;Cálido;Acogedor
67YY 89/124,Estrella del Norte,Cálido,9,7,Arena,Pop;Maximalista,Living;Comedor;Cocina,Blanco;Madera clara;Beige;Neutros,Negro mate;Grafito;Azul profundo,Arena cálido de luminosidad muy alto (9/10) y saturación alta (7/10) que aporta amplitud visual.,Muy Alto,Alta,Luminoso;Amplio;Cálido;Acogedor
60YY 55/504,Explosión Cítrica,Cálido,6,7,Arena,Pop;Maximalista,Comedor;Living,Blanco;Madera clara;Beige;Neutros,Blanco;Crema;Azul profundo,Arena cálido de luminosidad medio (6/10) y saturación alta (7/10) que equilibra el espacio.,Medio,Alta,Suave;Cálido;Acogedor;Alegre
47YY 40/227,Fango Mostaza,Cálido,4,4,Terracota,Contemporáneo,Living;Dormitorio;Comedor;Cocina;Baño;Pasillo;Home office;Cuarto de niños,Blanco;Madera clara;Beige;Blanco roto,Blanco;Crema;Azul profundo,Terracota cálido de luminosidad bajo (4/10) y saturación baja (4/10) que equilibra el espacio.,Bajo,Baja,Suave;Cálido;Acogedor;Natural
53YY 88/112,Fantasía Lunar,Cálido,9,7,Arena,Pop;Maximalista,Living;Dormitorio;Comedor;Cocina;Baño;Pasillo;Home office;Cuarto de niños,Blanco;Madera clara;Beige;Neutros,Negro mate;Grafito;Azul profundo,Arena cálido de luminosidad muy alto (9/10) y saturación alta (7/10) que aporta amplitud visual.,Muy Alto,Alta,Luminoso;Amplio;Cálido;Acogedor
34YY 31/502,Fantasía Oliva,Cálido,4,6,Terracota,Contemporáneo,Living;Dormitorio;Comedor;Cocina;Baño;Pasillo;Home office;Cuarto de niños,Blanco;Madera clara;Beige;Blanco roto;Neutros,Blanco;Crema;Azul profundo,Terracota cálido de luminosidad bajo (4/10) y saturación media (6/10) que equilibra el espacio.,Bajo,Media,Suave;Cálido;Acogedor;Natural
40YY 53/218,Feriado Romano,Cálido,6,5,Arena,Rústico;Mediterráneo,Dormitorio;Pasillo;Comedor;Living,Blanco;Madera clara;Beige,Blanco;Crema;Azul profundo,Arena cálido de luminosidad medio (6/10) y saturación media (5/10) que equilibra el espacio.,Medio,Media,Suave;Cálido;Acogedor;Natural
