codigo,nombre,hex,rgb,familia,subfamilia,url,imagen,temperatura,luminosidad,saturacion,nivel_luminosidad,nivel_saturacion,familia_visual,estilos_recomendados,ambientes_oficiales,ambientes_recomendados,combina_con,contrasta_con,sensacion_visual,descripcion_tecnica,descripcion_alba,superficies,texto_conocimiento
60YY 69/583,Amarillo Fantasía,#F3D15B,"243,209,91",Amarillo,,https://www.alba.com.ar/es/paletas-de-colores/amarillo-fantasia-60yy-69-583-1672530,imagenes/60YY69583.jpg,Cálido,7,9,Alto,Muy Alta,Arena,Pop;Maximalista,,Living;Comedor;Cocina,Blanco;Madera clara;Beige;Neutros,Negro mate;Grafito;Azul profundo,Luminoso;Amplio;Cálido;Acogedor,Arena cálido de luminosidad alto (7/10) y saturación muy alta (9/10) que aporta amplitud visual.,,,"Color Alba 60YY 69/583 — Amarillo Fantasía. HEX #F3D15B, RGB 243,209,91. Familia oficial: Amarillo. Temperatura Cálido; luminosidad Alto (7/10); saturación Muy Alta (9/10). Familia visual: Arena. Sensación: Luminoso, Amplio, Cálido, Acogedor. Estilos: Pop, Maximalista. Ambientes recomendados: Living, Comedor, Cocina. Combina con: Blanco, Madera clara, Beige, Neutros. Contrasta con: Negro mate, Grafito, Azul profundo. Arena cálido de luminosidad alto (7/10) y saturación muy alta (9/10) que aporta amplitud visual."
45YY 65/710,Amarillo Festival,#FACA35,"250,202,53",Amarillo,,https://www.alba.com.ar/es/paletas-de-colores/amarillo-festival-45yy-65-710-1672093,imagenes/45YY65710.jpg,Cálido,7,10,Alto,Muy Alta,Terracota,Pop;Maximalista,,Living;Comedor;Cocina,Blanco;Madera clara;Beige;Neutros,Negro mate;Grafito;Azul profundo,Luminoso;Amplio;Cálido;Acogedor,Terracota cálido de luminosidad alto (7/10) y saturación muy alta (10/10) que aporta amplitud visual.,,,"Color Alba 45YY 65/710 — Amarillo Festival. HEX #FACA35, RGB 250,202,53. Familia oficial: Amarillo. Temperatura Cálido; luminosidad Alto (7/10); saturación Muy Alta (10/10). Familia visual: Terracota. Sensación: Luminoso, Amplio, Cálido, Acogedor. Estilos: Pop, Maximalista. Ambientes recomendados: Living, Comedor, Cocina. Combina con: Blanco, Madera clara, Beige, Neutros. Contrasta con: Negro mate, Grafito, Azul profundo. Terracota cálido de luminosidad alto (7/10) y saturación muy alta (10/10) que aporta amplitud visual."
45YY 69/614,Amarillo Imprenta,#FFCF57,"255,207,87",Amarillo,,https://www.alba.com.ar/es/paletas-de-colores/amarillo-imprenta-45yy-69-614-1672098,imagenes/45YY69614.jpg,Cálido,7,10,Alto,Muy Alta,Arena,Pop;Maximalista,,Living;Comedor;Cocina,Blanco;Madera clara;Beige;Neutros,Negro mate;Grafito;Azul profundo,Luminoso;Amplio;Cálido;Acogedor,Arena cálido de luminosidad alto (7/10) y saturación muy alta (10/10) que aporta amplitud visual.,,,"Color Alba 45YY 69/614 — Amarillo Imprenta. HEX #FFCF57, RGB 255,207,87. Familia oficial: Amarillo. Temperatura Cálido; luminosidad Alto (7/10); saturación Muy Alta (10/10). Familia visual: Arena. Sensación: Luminoso, Amplio, Cálido, Acogedor. Estilos: Pop, Maximalista. Ambientes recomendados: Living, Comedor, Cocina. Combina con: Blanco, Madera clara, Beige, Neutros. Contrasta con: Negro mate, Grafito, Azul profundo. Arena cálido de luminosidad alto (7/10) y saturación muy alta (10/10) que aporta amplitud visual."
60YY 83/219,Amarillo Margarita,#F6E6BB,"246,230,187",Amarillo,,https://www.alba.com.ar/es/paletas-de-colores/amarillo-margarita-60yy-83-219-1672547,imagenes/60YY83219.jpg,Cálido,8,8,Alto,Alta,Arena,Pop;Maximalista,,Living;Comedor;Cocina,Blanco;Madera clara;Beige;Neutros,Negro mate;Grafito;Azul profundo,Luminoso;Amplio;Cálido;Acogedor,Arena cálido de luminosidad alto (8/10) y saturación alta (8/10) que aporta amplitud visual.,,,"Color Alba 60YY 83/219 — Amarillo Margarita. HEX #F6E6BB, RGB 246,230,187. Familia oficial: Amarillo. Temperatura Cálido; luminosidad Alto (8/10); saturación Alta (8/10). Familia visual: Arena. Sensación: Luminoso, Amplio, Cálido, Acogedor. Estilos: Pop, Maximalista. Ambientes recomendados: Living, Comedor, Cocina. Combina con: Blanco, Madera clara, Beige, Neutros. Contrasta con: Negro mate, Grafito, Azul profundo. Arena cálido de luminosidad alto (8/10) y saturación alta (8/10) que aporta amplitud visual."
45YY 74/383,Amarillo Neón,#FAD98E,"250,217,142",Amarillo,,https://www.alba.com.ar/es/paletas-de-colores/amarillo-neon-45yy-74-383-1672105,imagenes/45YY74383.jpg,Cálido,7,9,Alto,Muy Alta,Arena,Pop;Maximalista,,Living;Comedor;Cocina,Blanco;Madera clara;Beige;Neutros,Negro mate;Grafito;Azul profundo,Luminoso;Amplio;Cálido;Acogedor,Arena cálido de luminosidad alto (7/10) y saturación muy alta (9/10) que aporta amplitud visual.,,,"Color Alba 45YY 74/383 — Amarillo Neón. HEX #FAD98E, RGB 250,217,142. Familia oficial: Amarillo. Temperatura Cálido; luminosidad Alto (7/10); saturación Muy Alta (9/10). Familia visual: Arena. Sensación: Luminoso, Amplio, Cálido, Acogedor. Estilos: Pop, Maximalista. Ambientes recomendados: Living, Comedor, Cocina. Combina con: Blanco, Madera clara, Beige, Neutros. Contrasta con: Negro mate, Grafito, Azul profundo. Arena cálido de luminosidad alto (7/10) y saturación muy alta (9/10) que aporta amplitud visual."
37YY 61/867,Amarillo Omega *,#FFC100,"255,193,0",Amarillo,,https://www.alba.com.ar/es/paletas-de-colores/amarillo-omega-37yy-61-867-1671948,imagenes/37YY61867.jpg,Cálido,6,10,Medio,Muy Alta,Terracota,Pop;Maximalista,,Comedor;Living,Blanco;Madera clara;Beige;Neutros,Blanco;Crema;Azul profundo,Suave;Cálido;Acogedor;Alegre,Terracota cálido de luminosidad medio (6/10) y saturación muy alta (10/10) que equilibra el espacio.,,,"Color Alba 37YY 61/867 — Amarillo Omega *. HEX #FFC100, RGB 255,193,0. Familia oficial: Amarillo. Temperatura Cálido; luminosidad Medio (6/10); saturación Muy Alta (10/10). Familia visual: Terracota. Sensación: Suave, Cálido, Acogedor, Alegre. Estilos: Pop, Maximalista. Ambientes recomendados: Comedor, Living. Combina con: Blanco, Madera clara, Beige, Neutros. Contrasta con: Blanco, Crema, Azul profundo. Terracota cálido de luminosidad medio (6/10) y saturación muy alta (10/10) que equilibra el espacio."
60YY 73/497,Amarillo Optimista,#F3D975,"243,217,117",Amarillo,,https://www.alba.com.ar/es/paletas-de-colores/amarillo-optimista-60yy-73-497-1672533,imagenes/60YY73497.jpg,Cálido,7,9,Alto,Muy Alta,Arena,Pop;Maximalista,,Living;Comedor;Cocina,Blanco;Madera clara;Beige;Neutros,Negro mate;Grafito;Azul profundo,Luminoso;Amplio;Cálido;Acogedor,Arena cálido de luminosidad alto (7/10) y saturación muy alta (9/10) que aporta amplitud visual.,,,"Color Alba 60YY 73/497 — Amarillo Optimista. HEX #F3D975, RGB 243,217,117. Familia oficial: Amarillo. Temperatura Cálido; luminosidad Alto (7/10); saturación Muy Alta (9/10). Familia visual: Arena. Sensación: Luminoso, Amplio, Cálido, Acogedor. Estilos: Pop, Maximalista. Ambientes recomendados: Living, Comedor, Cocina. Combina con: Blanco, Madera clara, Beige, Neutros. Contrasta con: Negro mate, Grafito, Azul profundo. Arena cálido de luminosidad alto (7/10) y saturación muy alta (9/10) que aporta amplitud visual."
40YY 68/381,Amarillo Peruano,#F4D088,"244,208,136",Amarillo,,https://www.alba.com.ar/es/paletas-de-colores/amarillo-peruano-40yy-68-381-1672009,imagenes/40YY68381.jpg,Cálido,7,8,Alto,Alta,Arena,Pop;Maximalista,,Living;Comedor;Cocina,Blanco;Madera clara;Beige;Neutros,Negro mate;Grafito;Azul profundo,Luminoso;Amplio;Cálido;Acogedor,Arena cálido de luminosidad alto (7/10) y saturación alta (8/10) que aporta amplitud visual.,,,"Color Alba 40YY 68/381 — Amarillo Peruano. HEX #F4D088, RGB 244,208,136. Familia oficial: Amarillo. Temperatura Cálido; luminosidad Alto (7/10); saturación Alta (8/10). Familia visual: Arena. Sensación: Luminoso, Amplio, Cálido, Acogedor. Estilos: Pop, Maximalista. Ambientes recomendados: Living, Comedor, Cocina. Combina con: Blanco, Madera clara, Beige, Neutros. Contrasta con: Negro mate, Grafito, Azul profundo. Arena cálido de luminosidad alto (7/10) y saturación alta (8/10) que aporta amplitud visual."
45YY 71/664,Amarillo Real *,#FFD145,"255,209,69",Amarillo,,https://www.alba.com.ar/es/paletas-de-colores/amarillo-real-45yy-71-664-1672101,imagenes/45YY71664.jpg,Cálido,7,10,Alto,Muy Alta,Arena,Pop;Maximalista,,Living;Comedor;Cocina,Blanco;Madera clara;Beige;Neutros,Negro mate;Grafito;Azul profundo,Luminoso;Amplio;Cálido;Acogedor,Arena cálido de luminosidad alto (7/10) y saturación muy alta (10/10) que aporta amplitud visual.,,,"Color Alba 45YY 71/664 — Amarillo Real *. HEX #FFD145, RGB 255,209,69. Familia oficial: Amarillo. Temperatura Cálido; luminosidad Alto (7/10); saturación Muy Alta (10/10). Familia visual: Arena. Sensación: Luminoso, Amplio, Cálido, Acogedor. Estilos: Pop, Maximalista. Ambientes recomendados: Living, Comedor, Cocina. Combina con: Blanco, Madera clara, Beige, Neutros. Contrasta con: Negro mate, Grafito, Azul profundo. Arena cálido de luminosidad alto (7/10) y saturación muy alta (10/10) que aporta amplitud visual."
60YY 80/288,Amarillo Refinado,#F6E2A9,"246,226,169",Amarillo,,https://www.alba.com.ar/es/paletas-de-colores/amarillo-refinado-60yy-80-288-1672541,imagenes/60YY80288.jpg,Cálido,8,8,Alto,Alta,Arena,Pop;Maximalista,,Living;Comedor;Cocina,Blanco;Madera clara;Beige;Neutros,Negro mate;Grafito;Azul profundo,Luminoso;Amplio;Cálido;Acogedor,Arena cálido de luminosidad alto (8/10) y saturación alta (8/10) que aporta amplitud visual.,,,"Color Alba 60YY 80/288 — Amarillo Refinado. HEX #F6E2A9, RGB 246,226,169. Familia oficial: Amarillo. Temperatura Cálido; luminosidad Alto (8/10); saturación Alta (8/10). Familia visual: Arena. Sensación: Luminoso, Amplio, Cálido, Acogedor. Estilos: Pop, Maximalista. Ambientes recomendados: Living, Comedor, Cocina. Combina con: Blanco, Madera clara, Beige, Neutros. Contrasta con: Negro mate, Grafito, Azul profundo. Arena cálido de luminosidad alto (8/10) y saturación alta (8/10) que aporta amplitud visual."
60YY 66/487,Amarillo Rico *,#ECCE6C,"236,206,108",Amarillo,,https://www.alba.com.ar/es/paletas-de-colores/amarillo-rico-60yy-66-487-1672526,imagenes/60YY66487.jpg,Cálido,7,8,Alto,Alta,Arena,Pop;Maximalista,,Living;Comedor;Cocina,Blanco;Madera clara;Beige;Neutros,Negro mate;Grafito;Azul profundo,Luminoso;Amplio;Cálido;Acogedor,Arena cálido de luminosidad alto (7/10) y saturación alta (8/10) que aporta amplitud visual.,,,"Color Alba 60YY 66/487 — Amarillo Rico *. HEX #ECCE6C, RGB 236,206,108. Familia oficial: Amarillo. Temperatura Cálido; luminosidad Alto (7/10); saturación Alta (8/10). Familia visual: Arena. Sensación: Luminoso, Amplio, Cálido, Acogedor. Estilos: Pop, Maximalista. Ambientes recomendados: Living, Comedor, Cocina. Combina con: Blanco, Madera clara, Beige, Neutros. Contrasta con: Negro mate, Grafito, Azul profundo. Arena cálido de luminosidad alto (7/10) y saturación alta (8/10) que aporta amplitud visual."
58YY 88/180,Amarillo Suave,#F7E9C5,"247,233,197",Amarillo,,https://www.alba.com.ar/es/paletas-de-colores/amarillo-suave-58yy-88-180-1672468,imagenes/58YY88180.jpg,Cálido,8,8,Alto,Alta,Arena,Pop;Maximalista,,Living;Comedor;Cocina,Blanco;Madera clara;Beige;Neutros,Negro mate;Grafito;Azul profundo,Luminoso;Amplio;Cálido;Acogedor,Arena cálido de luminosidad alto (8/10) y saturación alta (8/10) que aporta amplitud visual.,,,"Color Alba 58YY 88/180 — Amarillo Suave. HEX #F7E9C5, RGB 247,233,197. Familia oficial: Amarillo. Temperatura Cálido; luminosidad Alto (8/10); saturación Alta (8/10). Familia visual: Arena. Sensación: Luminoso, Amplio, Cálido, Acogedor. Estilos: Pop, Maximalista. Ambientes recomendados: Living, Comedor, Cocina. Combina con: Blanco, Madera clara, Beige, Neutros. Contrasta con: Negro mate, Grafito, Azul profundo. Arena cálido de luminosidad alto (8/10) y saturación alta (8/10) que aporta amplitud visual."
60YY 71/409,Amarillo Vibrante,#EFD886,"239,216,134",Amarillo,,https://www.alba.com.ar/es/paletas-de-colores/amarillo-vibrante-60yy-71-409-1672531,imagenes/60YY71409.jpg,Cálido,7,8,Alto,Alta,Arena,Pop;Maximalista,,Living;Comedor;Cocina,Blanco;Madera clara;Beige;Neutros,Negro mate;Grafito;Azul profundo,Luminoso;Amplio;Cálido;Acogedor,Arena cálido de luminosidad alto (7/10) y saturación alta (8/10) que aporta amplitud visual.,,,"Color Alba 60YY 71/409 — Amarillo Vibrante. HEX #EFD886, RGB 239,216,134. Familia oficial: Amarillo. Temperatura Cálido; luminosidad Alto (7/10); saturación Alta (8/10). Familia visual: Arena. Sensación: Luminoso, Amplio, Cálido, Acogedor. Estilos: Pop, Maximalista. Ambientes recomendados: Living, Comedor, Cocina. Combina con: Blanco, Madera clara, Beige, Neutros. Contrasta con: Negro mate, Grafito, Azul profundo. Arena cálido de luminosidad alto (7/10) y saturación alta (8/10) que aporta amplitud visual."
45YY 61/368,Amarillo Victoriano,#E6C780,"230,199,128",Amarillo,,https://www.alba.com.ar/es/paletas-de-colores/amarillo-victoriano-45yy-61-368-1672088,imagenes/45YY61368.jpg,Cálido,6,7,Medio,Alta,Arena,Pop;Maximalista,,Comedor;Living,Blanco;Madera clara;Beige;Neutros,Blanco;Crema;Azul profundo,Suave;Cálido;Acogedor;Alegre,Arena cálido de luminosidad medio (6/10) y saturación alta (7/10) que equilibra el espacio.,,,"Color Alba 45YY 61/368 — Amarillo Victoriano. HEX #E6C780, RGB 230,199,128. Familia oficial: Amarillo. Temperatura Cálido; luminosidad Medio (6/10); saturación Alta (7/10). Familia visual: Arena. Sensación: Suave, Cálido, Acogedor, Alegre. Estilos: Pop, Maximalista. Ambientes recomendados: Comedor, Living. Combina con: Blanco, Madera clara, Beige, Neutros. Contrasta con: Blanco, Crema, Azul profundo. Arena cálido de luminosidad medio (6/10) y saturación alta (7/10) que equilibra el espacio."
40YY 63/473,Ananá Maduro,#EEC76E,"238,199,110",Amarillo,,https://www.alba.com.ar/es/paletas-de-colores/anana-maduro-40yy-63-473-1672001,imagenes/40YY63473.jpg,Cálido,6,8,Medio,Alta,Arena,Pop;Maximalista,,Comedor;Living,Blanco;Madera clara;Beige;Neutros,Blanco;Crema;Azul profundo,Suave;Cálido;Acogedor;Alegre,Arena cálido de luminosidad medio (6/10) y saturación alta (8/10) que equilibra el espacio.,,,"Color Alba 40YY 63/473 — Ananá Maduro. HEX #EEC76E, RGB 238,199,110. Familia oficial: Amarillo. Temperatura Cálido; luminosidad Medio (6/10); saturación Alta (8/10). Familia visual: Arena. Sensación: Suave, Cálido, Acogedor, Alegre. Estilos: Pop, Maximalista. Ambientes recomendados: Comedor, Living. Combina con: Blanco, Madera clara, Beige, Neutros. Contrasta con: Blanco, Crema, Azul profundo. Arena cálido de luminosidad medio (6/10) y saturación alta (8/10) que equilibra el espacio."
30YY 47/236,Arroz Dorado,#CDB288,"205,178,136",Amarillo,,https://www.alba.com.ar/es/paletas-de-colores/arroz-dorado-30yy-47-236-1671863,imagenes/30YY47236.jpg,Cálido,5,5,Medio,Media,Arena,Rústico;Mediterráneo,,Dormitorio;Pasillo;Comedor;Living,Blanco;Madera clara;Beige,Blanco;Crema;Azul profundo,Suave;Cálido;Acogedor;Natural,Arena cálido de luminosidad medio (5/10) y saturación media (5/10) que equilibra el espacio.,,,"Color Alba 30YY 47/236 — Arroz Dorado. HEX #CDB288, RGB 205,178,136. Familia oficial: Amarillo. Temperatura Cálido; luminosidad Medio (5/10); saturación Media (5/10). Familia visual: Arena. Sensación: Suave, Cálido, Acogedor, Natural. Estilos: Rústico, Mediterráneo. Ambientes recomendados: Dormitorio, Pasillo, Comedor, Living. Combina con: Blanco, Madera clara, Beige. Contrasta con: Blanco, Crema, Azul profundo. Arena cálido de luminosidad medio (5/10) y saturación media (5/10) que equilibra el espacio."
